country.name.,lulucf.co2.,hist.1990,hist.1991,hist.1992,hist.1993,hist.1994,hist.1995,hist.1996,hist.1997,hist.1998,hist.1999,hist.2000,hist.2001,hist.2002,hist.2003,hist.2004,hist.2005,hist.2006,hist.2007,hist.2008,hist.2009,hist.2010,hist.2011,hist.2012,hist.2013,hist.2014,hist.2015,hist.2016,hist.2017,hist.2018,hist.2019,bau.median.2020,bau.median.2025,bau.median.2030,bau.natl.median.2020,bau.natl.median.2030,pledge.unc.median.2020,pledge.cond.median.2020,indc.unc.median.2025,indc.cond.median.2025,indc.unc.median.2030,indc.cond.median.2030,cur.pol.minimum.2020,cur.pol.maximum.2020,cur.pol.minimum.2025,cur.pol.maximum.2025,cur.pol.minimum.2030,cur.pol.maximum.2030,glb.2c.median.2020,glb.2c.minimum.2020,glb.2c.maximum.2020,glb.2c.median.2025,glb.2c.minimum.2025,glb.2c.maximum.2025,glb.2c.median.2030,glb.2c.minimum.2030,glb.2c.maximum.2030
Country name,LULUCF CO2,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,hist,bau,bau,bau,bau.natl,bau.natl,pledge.unc,pledge.cond,indc.unc,indc.cond,indc.unc,indc.cond,cur.pol,cur.pol,cur.pol,cur.pol,cur.pol,cur.pol,glb.2c,glb.2c,glb.2c,glb.2c,glb.2c,glb.2c,glb.2c,glb.2c,glb.2c
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2025,2030,2020,2030,2020,2020,2025,2025,2030,2030,2020,2020,2025,2025,2030,2030,2020,2020,2020,2025,2025,2025,2030,2030,2030
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Median,Minimum,Maximum,Minimum,Maximum,Minimum,Maximum,Median ,Minimum,Maximum,Median ,Minimum,Maximum,Median,Minimum,Maximum
Argentina,excl,239,242,248,246,255,255,267,269,272,272,276,266,257,275,293,299,309,317,322,304,310,,,,,,,,,,367,411,456, -   , -   , -   , -   , -   , -   , -   , -   ,384,385,430,432,476,478,,,,,,,,,
Australia,incl,555,539,527,515,516,511,518,527,544,548,561,577,579,563,585,608,611,607,579,568,560,,,,,,,,,,719,725,730,693, -   ,536,423, -   , -   ,439, -   ,648,665,664,714,669,761,,,,,,,,,
Belarus,excl,139,132,122,108,92,83,85,87,85,81,79,77,77,79,83,84,88,87,91,88,89,,,,,,,,,,108,110,113, -   , -   ,128, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
Benin,excl,3,3,3,3,3,3,4,4,4,5,5,6,6,6,7,7,8,9,9,10,11,,,,,,,,,,15,18,21, -   , -   , -   , -   , -   , -   ,16, -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
Brazil,incl,"1,611","1,617","1,631","1,644","1,667","1,695","1,704","1,733","1,749","1,775","1,801","1,967","1,985","2,007","2,044","2,059","1,626","1,614","1,611","1,590","1,688",,,,,,,,,,"1,930","2,052","2,137","3,236", -   ,"2,022", -   , -   , -   , -   , -   ,"1,470","1,521","1,479","1,531","1,487","1,541",,,,,,,,,
Canada,incl,529,547,516,591,605,833,639,614,804,714,669,665,821,790,851,799,801,801,720,679,802,,,,,,,,,,865,876,889,734, -   , -   ,622, -   , -   ,524, -   ,695,740,670,766,645,793,,,,,,,,,
Chile,incl,54,35,37,40,44,48,56,64,66,70,67,69,72,73,78,79,83,91,92,91,94,,,,,,,,,,108,121,135, -   , -   , -   ,86, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,
