Global Land Temperature Anomalies
Units: Degrees Celsius
Year,Value
188001,-0.17
188002,-0.57
188003,-0.75
188004,-0.33
188005,-0.24
188006,-0.30
188007,-0.35
188008,-0.33
188009,-0.39
188010,-0.62
188011,-0.96
188012,-0.57
188101,-0.42
188102,-0.49
188103,-0.29
188104,-0.15
188105,-0.08
188106,-0.56
188107,-0.36
188108,-0.17
188109,-0.59
188110,-0.76
188111,-0.92
188112,-0.37
188201,-0.00
188202,-0.23
188203,-0.01
188204,-0.70
188205,-0.52
188206,-0.55
188207,-0.53
188208,-0.07
188209,-0.17
188210,-0.85
188211,-0.43
188212,-0.68
188301,-1.27
188302,-1.40
188303,-0.55
188304,-0.62
188305,-0.49
188306,-0.08
188307,-0.35
188308,-0.30
188309,-0.49
188310,-0.58
188311,-0.72
188312,-0.24
188401,-0.43
188402,-0.73
188403,-0.89
188404,-0.74
188405,-0.52
188406,-0.47
188407,-0.69
188408,-0.69
188409,-0.64
188410,-0.46
188411,-0.70
188412,-0.33
188501,-1.35
188502,-0.81
188503,-0.36
188504,-0.61
188505,-0.61
188506,-0.63
188507,-0.54
188508,-0.64
188509,-0.40
188510,-0.34
188511,-0.24
188512,0.24
188601,-0.46
188602,-1.01
188603,-0.85
188604,-0.38
188605,-0.41
188606,-0.55
188607,-0.23
188608,-0.32
188609,-0.35
188610,-0.61
188611,-0.61
188612,-0.04
188701,-1.06
188702,-0.91
188703,-0.29
188704,-0.35
188705,-0.22
188706,-0.47
188707,-0.42
188708,-0.66
188709,-0.18
188710,-0.63
188711,-0.17
188712,-0.27
188801,-1.03
188802,-0.85
188803,-0.82
188804,-0.26
188805,-0.49
188806,-0.34
188807,-0.29
188808,-0.53
188809,-0.28
188810,-0.24
188811,-0.48
188812,-0.23
188901,-0.79
188902,-0.18
188903,0.11
188904,0.18
188905,-0.24
188906,-0.19
188907,-0.32
188908,-0.25
188909,-0.43
188910,-0.48
188911,-0.93
188912,-0.44
189001,-0.86
189002,-0.92
189003,-0.56
189004,-0.33
189005,-0.72
189006,-0.41
189007,-0.24
189008,-0.39
189009,-0.36
189010,-0.27
189011,-0.74
189012,-0.45
189101,-0.87
189102,-1.39
189103,-0.45
189104,-0.63
189105,-0.39
189106,-0.54
189107,-0.44
189108,-0.43
189109,-0.21
189110,-0.65
189111,-0.90
189112,0.11
189201,-0.72
189202,-0.37
189203,-0.84
189204,-0.69
189205,-0.51
189206,-0.31
189207,-0.36
189208,-0.31
189209,-0.14
189210,-0.15
189211,-1.05
189212,-0.93
189301,-2.05
189302,-1.67
189303,-0.23
189304,-0.45
189305,-0.62
189306,-0.32
189307,-0.19
189308,-0.44
189309,-0.29
189310,-0.25
189311,-0.10
189312,-0.28
189401,-0.85
189402,-0.08
189403,0.00
189404,-0.48
189405,-0.25
189406,-0.48
189407,-0.32
189408,-0.33
189409,-0.41
189410,-0.31
189411,-0.55
189412,-0.32
189501,-1.27
189502,-1.11
189503,-0.34
189504,-0.07
189505,-0.25
189506,-0.45
189507,-0.31
189508,-0.39
189509,-0.17
189510,-0.28
189511,-0.34
189512,-0.16
189601,-0.17
189602,-0.12
189603,-0.57
189604,-0.71
189605,-0.14
189606,-0.19
189607,-0.18
189608,-0.19
189609,-0.29
189610,0.03
189611,-0.81
189612,-0.14
189701,-0.73
189702,-0.56
189703,-1.01
189704,-0.04
189705,0.00
189706,-0.23
189707,0.00
189708,-0.18
189709,0.14
189710,-0.23
189711,-0.42
189712,-0.56
189801,0.22
189802,-0.47
189803,-1.61
189804,-0.48
189805,-0.51
189806,-0.23
189807,-0.40
189808,-0.26
189809,-0.27
189810,-0.61
189811,-0.35
189812,0.21
189901,-0.04
189902,-0.63
189903,-0.56
189904,-0.12
189905,-0.13
189906,-0.52
189907,-0.22
189908,-0.17
189909,0.08
189910,0.01
189911,0.65
189912,-0.64
190001,-0.83
190002,-0.51
190003,-0.07
190004,-0.24
190005,0.06
190006,0.05
190007,-0.19
190008,-0.10
190009,-0.14
190010,0.19
190011,-0.28
190012,0.26
190101,-0.37
190102,-0.16
190103,0.25
190104,0.07
190105,-0.11
190106,-0.10
190107,-0.06
190108,-0.06
190109,-0.19
190110,-0.37
190111,0.13
190112,-0.28
190201,0.22
190202,0.43
190203,-0.21
190204,-0.60
190205,-0.32
190206,-0.42
190207,-0.45
190208,-0.40
190209,-0.31
190210,-0.48
190211,-0.78
190212,-0.82
190301,-0.17
190302,0.34
190303,-0.37
190304,-0.53
190305,-0.57
190306,-0.53
190307,-0.39
190308,-0.47
190309,-0.33
190310,-0.62
190311,-0.48
190312,-0.58
190401,-0.92
190402,-0.60
190403,-0.74
190404,-0.60
190405,-0.35
190406,-0.46
190407,-0.50
190408,-0.40
190409,-0.57
190410,-0.50
190411,0.21
190412,-0.17
190501,-0.38
190502,-1.34
190503,-0.77
190504,-0.86
190505,-0.39
190506,-0.31
190507,-0.18
190508,-0.28
190509,-0.20
190510,-0.42
190511,0.20
190512,-0.10
190601,-0.31
190602,-0.63
190603,-0.24
190604,0.23
190605,0.03
190606,0.04
190607,-0.18
190608,-0.14
190609,-0.31
190610,-0.23
190611,-0.63
190612,0.17
190701,-0.59
190702,-0.74
190703,-0.51
190704,-0.77
190705,-0.99
190706,-0.64
190707,-0.49
190708,-0.35
190709,-0.31
190710,-0.29
190711,-0.92
190712,-0.53
190801,-0.25
190802,-0.37
190803,-1.08
190804,-0.71
190805,-0.32
190806,-0.39
190807,-0.29
190808,-0.49
190809,-0.25
190810,-0.68
190811,-0.60
190812,-0.30
190901,-0.88
190902,-0.56
190903,-0.78
190904,-0.79
190905,-0.55
190906,-0.33
190907,-0.29
190908,-0.02
190909,-0.15
190910,-0.19
190911,0.27
190912,-0.32
191001,-0.05
191002,-0.32
191003,-0.40
191004,-0.17
191005,-0.19
191006,-0.31
191007,-0.10
191008,-0.18
191009,-0.25
191010,-0.46
191011,-0.62
191012,-0.80
191101,-0.72
191102,-0.60
191103,-0.77
191104,-0.43
191105,-0.32
191106,-0.35
191107,-0.37
191108,-0.41
191109,-0.34
191110,-0.32
191111,-0.19
191112,-0.35
191201,-0.46
191202,0.08
191203,-0.80
191204,-0.35
191205,-0.28
191206,-0.24
191207,-0.49
191208,-0.72
191209,-0.72
191210,-0.93
191211,-0.54
191212,-0.48
191301,-0.49
191302,-0.72
191303,-0.63
191304,-0.33
191305,-0.59
191306,-0.46
191307,-0.34
191308,-0.22
191309,-0.35
191310,-0.36
191311,0.18
191312,0.43
191401,0.85
191402,0.12
191403,-0.07
191404,-0.33
191405,-0.00
191406,-0.08
191407,-0.14
191408,-0.16
191409,-0.13
191410,-0.03
191411,-0.33
191412,-0.30
191501,-0.28
191502,0.14
191503,-0.20
191504,0.14
191505,-0.00
191506,-0.10
191507,-0.04
191508,-0.07
191509,-0.17
191510,-0.41
191511,0.19
191512,0.33
191601,-0.10
191602,-0.18
191603,-0.54
191604,-0.24
191605,-0.20
191606,-0.49
191607,-0.20
191608,-0.20
191609,-0.21
191610,-0.27
191611,-0.37
191612,-1.10
191701,-0.53
191702,-0.79
191703,-0.81
191704,-0.50
191705,-0.77
191706,-0.46
191707,-0.17
191708,-0.27
191709,-0.05
191710,-0.56
191711,0.13
191712,-1.21
191801,-0.33
191802,-0.42
191803,-0.27
191804,-0.52
191805,-0.57
191806,-0.35
191807,-0.33
191808,-0.15
191809,-0.13
191810,-0.01
191811,-0.29
191812,-0.84
191901,-0.71
191902,-0.24
191903,-0.57
191904,0.04
191905,-0.33
191906,-0.29
191907,-0.12
191908,-0.07
191909,-0.07
191910,-0.28
191911,-0.63
191912,-0.43
192001,0.05
192002,-0.43
192003,0.05
192004,-0.28
192005,-0.17
192006,-0.35
192007,-0.14
192008,-0.15
192009,-0.22
192010,-0.32
192011,-0.50
192012,-0.95
192101,0.38
192102,-0.05
192103,-0.12
192104,-0.00
192105,0.10
192106,0.03
192107,0.06
192108,-0.27
192109,-0.21
192110,-0.08
192111,-0.38
192112,0.04
192201,-0.68
192202,-0.64
192203,-0.02
192204,0.00
192205,-0.15
192206,-0.19
192207,-0.13
192208,-0.22
192209,-0.18
192210,-0.26
192211,-0.07
192212,-0.02
192301,-0.08
192302,-0.62
192303,-0.29
192304,-0.66
192305,-0.37
192306,-0.10
192307,-0.30
192308,-0.21
192309,-0.14
192310,0.06
192311,0.34
192312,0.16
192401,-0.59
192402,-0.27
192403,-0.10
192404,-0.47
192405,-0.31
192406,-0.17
192407,-0.06
192408,-0.18
192409,-0.12
192410,-0.16
192411,0.07
192412,-0.42
192501,-0.36
192502,-0.31
192503,-0.00
192504,0.06
192505,-0.26
192506,-0.32
192507,-0.31
192508,-0.03
192509,-0.04
192510,-0.20
192511,0.27
192512,0.60
192601,0.68
192602,0.52
192603,0.45
192604,-0.30
192605,-0.30
192606,-0.15
192607,-0.25
192608,-0.07
192609,-0.08
192610,0.07
192611,0.07
192612,-0.36
192701,-0.31
192702,-0.23
