Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.17
188002,-0.57
188003,-0.71
188004,-0.29
188005,-0.22
188006,-0.30
188007,-0.35
188008,-0.30
188009,-0.37
188010,-0.61
188011,-0.95
188012,-0.57
188101,-0.43
188102,-0.52
188103,-0.31
188104,-0.14
188105,-0.07
188106,-0.57
188107,-0.36
188108,-0.14
188109,-0.58
188110,-0.77
188111,-0.93
188112,-0.39
188201,-0.02
188202,-0.24
188203,-0.02
188204,-0.72
188205,-0.53
188206,-0.57
188207,-0.56
188208,-0.09
188209,-0.19
188210,-0.87
188211,-0.43
188212,-0.70
188301,-1.26
188302,-1.40
188303,-0.59
188304,-0.63
188305,-0.50
188306,-0.10
188307,-0.38
188308,-0.30
188309,-0.50
188310,-0.58
188311,-0.73
188312,-0.25
188401,-0.43
188402,-0.75
188403,-0.91
188404,-0.73
188405,-0.51
188406,-0.46
188407,-0.69
188408,-0.69
188409,-0.63
188410,-0.45
188411,-0.71
188412,-0.33
188501,-1.37
188502,-0.82
188503,-0.35
188504,-0.59
188505,-0.60
188506,-0.62
188507,-0.53
188508,-0.64
188509,-0.39
188510,-0.34
188511,-0.23
188512,0.22
188601,-0.45
188602,-0.99
188603,-0.83
188604,-0.36
188605,-0.39
188606,-0.54
188607,-0.22
188608,-0.30
188609,-0.35
188610,-0.60
188611,-0.60
188612,-0.04
188701,-1.05
188702,-0.90
188703,-0.27
188704,-0.32
188705,-0.18
188706,-0.45
188707,-0.42
188708,-0.64
188709,-0.16
188710,-0.60
188711,-0.14
188712,-0.25
188801,-0.99
188802,-0.83
188803,-0.76
188804,-0.24
188805,-0.46
188806,-0.31
188807,-0.26
188808,-0.52
188809,-0.27
188810,-0.23
188811,-0.47
188812,-0.22
188901,-0.79
188902,-0.17
188903,0.12
188904,0.18
188905,-0.25
188906,-0.19
188907,-0.33
188908,-0.22
188909,-0.42
188910,-0.44
188911,-0.89
188912,-0.42
189001,-0.83
189002,-0.89
189003,-0.56
189004,-0.28
189005,-0.69
189006,-0.36
189007,-0.20
189008,-0.36
189009,-0.35
189010,-0.25
189011,-0.72
189012,-0.39
189101,-0.82
189102,-1.37
189103,-0.41
189104,-0.57
189105,-0.37
189106,-0.52
189107,-0.42
189108,-0.41
189109,-0.20
189110,-0.58
189111,-0.87
189112,0.13
189201,-0.68
189202,-0.34
189203,-0.81
189204,-0.68
189205,-0.48
189206,-0.29
189207,-0.35
189208,-0.29
189209,-0.11
189210,-0.13
189211,-1.03
189212,-0.90
189301,-1.99
189302,-1.66
189303,-0.21
189304,-0.44
189305,-0.60
189306,-0.30
189307,-0.16
189308,-0.41
189309,-0.27
189310,-0.21
189311,-0.08
189312,-0.24
189401,-0.82
189402,-0.05
189403,0.02
189404,-0.45
189405,-0.23
189406,-0.46
189407,-0.30
189408,-0.30
189409,-0.38
189410,-0.29
189411,-0.53
189412,-0.30
189501,-1.24
189502,-1.06
189503,-0.31
189504,-0.05
189505,-0.24
189506,-0.43
189507,-0.29
189508,-0.36
189509,-0.15
189510,-0.25
189511,-0.31
189512,-0.13
189601,-0.14
189602,-0.09
189603,-0.53
189604,-0.68
189605,-0.10
189606,-0.17
189607,-0.16
189608,-0.15
189609,-0.26
189610,0.06
189611,-0.77
189612,-0.09
189701,-0.68
189702,-0.51
189703,-0.95
189704,0.00
189705,0.05
189706,-0.19
189707,0.03
189708,-0.14
189709,0.18
189710,-0.20
189711,-0.45
189712,-0.52
189801,0.27
189802,-0.44
189803,-1.57
189804,-0.46
189805,-0.54
189806,-0.21
189807,-0.36
189808,-0.21
189809,-0.24
189810,-0.56
189811,-0.33
189812,0.32
189901,-0.02
189902,-0.58
189903,-0.52
189904,-0.09
189905,-0.15
189906,-0.42
189907,-0.22
189908,-0.13
189909,0.04
189910,0.04
189911,0.67
189912,-0.60
190001,-0.78
190002,-0.46
190003,-0.01
190004,-0.22
190005,0.10
190006,0.08
190007,-0.16
190008,-0.09
190009,-0.11
190010,0.22
190011,-0.26
190012,0.29
190101,-0.32
190102,-0.11
190103,0.27
190104,0.10
190105,-0.08
190106,-0.06
190107,-0.03
190108,-0.02
190109,-0.16
190110,-0.33
190111,0.14
190112,-0.25
190201,0.23
190202,0.45
190203,-0.19
190204,-0.57
190205,-0.30
190206,-0.39
190207,-0.42
190208,-0.38
190209,-0.28
190210,-0.45
190211,-0.75
190212,-0.79
190301,-0.14
190302,0.37
190303,-0.34
190304,-0.51
190305,-0.54
190306,-0.51
190307,-0.37
190308,-0.44
190309,-0.31
190310,-0.59
190311,-0.45
190312,-0.55
190401,-0.90
190402,-0.58
190403,-0.71
190404,-0.57
190405,-0.33
190406,-0.44
190407,-0.48
190408,-0.38
190409,-0.54
190410,-0.48
190411,0.23
190412,-0.15
190501,-0.36
190502,-1.31
190503,-0.75
190504,-0.85
190505,-0.37
190506,-0.30
190507,-0.17
190508,-0.26
190509,-0.18
190510,-0.40
190511,0.22
190512,-0.08
190601,-0.30
190602,-0.62
190603,-0.23
190604,0.24
190605,0.03
190606,0.04
190607,-0.17
190608,-0.13
190609,-0.29
190610,-0.22
190611,-0.62
190612,0.19
190701,-0.59
190702,-0.73
190703,-0.51
190704,-0.76
190705,-0.98
190706,-0.64
190707,-0.49
190708,-0.34
190709,-0.31
190710,-0.29
190711,-0.92
190712,-0.52
190801,-0.25
190802,-0.36
190803,-1.07
190804,-0.70
190805,-0.31
190806,-0.37
190807,-0.29
190808,-0.49
190809,-0.24
190810,-0.68
190811,-0.60
190812,-0.29
190901,-0.86
190902,-0.55
190903,-0.76
190904,-0.79
190905,-0.55
190906,-0.33
190907,-0.29
190908,-0.03
190909,-0.14
190910,-0.22
190911,0.27
190912,-0.32
191001,-0.06
191002,-0.33
191003,-0.42
191004,-0.17
191005,-0.21
191006,-0.33
191007,-0.11
191008,-0.19
191009,-0.27
191010,-0.48
191011,-0.64
191012,-0.82
191101,-0.74
191102,-0.60
191103,-0.78
191104,-0.44
191105,-0.34
191106,-0.36
191107,-0.38
191108,-0.43
191109,-0.36
191110,-0.34
191111,-0.22
191112,-0.36
191201,-0.47
191202,0.06
191203,-0.81
191204,-0.37
191205,-0.30
191206,-0.26
191207,-0.50
191208,-0.75
191209,-0.80
191210,-0.95
191211,-0.54
191212,-0.49
191301,-0.51
191302,-0.73
191303,-0.65
191304,-0.35
191305,-0.61
191306,-0.49
191307,-0.37
191308,-0.24
191309,-0.38
191310,-0.38
191311,0.16
191312,0.42
191401,0.82
191402,0.09
191403,-0.09
191404,-0.34
191405,-0.02
191406,-0.11
191407,-0.16
191408,-0.18
191409,-0.15
191410,-0.04
191411,-0.35
191412,-0.31
191501,-0.28
191502,0.12
191503,-0.23
191504,0.13
191505,-0.03
191506,-0.12
191507,-0.06
191508,-0.10
191509,-0.19
191510,-0.43
191511,0.17
191512,0.31
191601,-0.11
191602,-0.19
191603,-0.57
191604,-0.25
191605,-0.22
191606,-0.51
191607,-0.22
191608,-0.21
191609,-0.23
191610,-0.29
191611,-0.39
191612,-1.11
191701,-0.54
191702,-0.80
191703,-0.82
191704,-0.51
191705,-0.77
191706,-0.47
191707,-0.19
191708,-0.28
191709,-0.06
191710,-0.57
191711,0.12
191712,-1.22
191801,-0.34
191802,-0.40
191803,-0.25
191804,-0.53
191805,-0.59
191806,-0.34
191807,-0.34
191808,-0.14
191809,-0.13
191810,-0.01
191811,-0.30
191812,-0.83
191901,-0.70
191902,-0.22
191903,-0.56
191904,0.04
191905,-0.33
191906,-0.29
191907,-0.13
191908,-0.05
191909,-0.07
191910,-0.27
191911,-0.62
191912,-0.42
192001,0.08
192002,-0.40
192003,0.08
192004,-0.26
192005,-0.15
192006,-0.33
192007,-0.11
192008,-0.12
192009,-0.21
192010,-0.30
192011,-0.49
192012,-0.93
192101,0.38
192102,-0.04
192103,-0.11
192104,0.00
192105,0.10
192106,0.04
192107,0.07
192108,-0.26
192109,-0.20
192110,-0.07
192111,-0.36
192112,0.05
192201,-0.66
192202,-0.62
192203,-0.01
192204,0.01
192205,-0.14
192206,-0.19
192207,-0.14
192208,-0.21
192209,-0.17
192210,-0.25
192211,-0.07
192212,-0.02
192301,-0.06
192302,-0.61
192303,-0.30
192304,-0.66
192305,-0.36
192306,-0.10
192307,-0.29
192308,-0.20
192309,-0.13
192310,0.08
192311,0.35
192312,0.17
192401,-0.58
192402,-0.27
192403,-0.09
192404,-0.46
192405,-0.30
192406,-0.15
192407,-0.05
192408,-0.17
192409,-0.10
192410,-0.15
192411,0.08
192412,-0.42
192501,-0.35
192502,-0.31
192503,0.01
192504,0.07
192505,-0.26
192506,-0.31
192507,-0.31
192508,-0.03
192509,-0.04
192510,-0.21
192511,0.28
192512,0.60
192601,0.69
192602,0.53
192603,0.46
192604,-0.28
192605,-0.28
192606,-0.14
192607,-0.24
192608,-0.06
192609,-0.07
192610,0.08
192611,0.08
192612,-0.36
