year,P,g,e,f,E,F,ef,G
1969,0.800224259,0.19327,40.505691692125374,93.11279969598972,6.264583646107698,583.312922218799,3771.598357076384,0.15465934253693
1970,0.822115906,0.22462000000000001,43.45494854241443,93.45640984257187,8.024550486335714,749.9456790534,4061.143480667754,0.18466367480572
1971,0.844302366,0.23403,48.157503286123976,92.88081057263629,9.51554137265873,883.811195729999,4472.907940369591,0.19759208271498
1972,0.865421967,0.237,50.002741696995514,92.38195735107605,10.255812644729206,947.452046346,4619.351150888712,0.205105006179
1973,0.885139935,0.25002,48.89670675884971,91.4953057313546,10.82097256911742,990.068193522,4473.819134157347,0.22130268654870003
1974,0.90357638,0.25055,49.275912226400784,90.50267703424176,11.155626100397141,1009.6140260790003,4459.601969793595,0.22639106200899997
1975,0.920294348,0.26741000000000004,50.779043982347346,90.75034585023651,12.496515118945238,1134.06306896699,4608.215803342393,0.24609591159868002
1976,0.935120379,0.25895999999999997,54.334595497584004,90.36054126053727,13.157598995937342,1188.9277669619999,4909.703458334042,0.24215877334583996
1977,0.94876105,0.27463,55.083012098800246,90.54350897714994,14.352333080839088,1299.510599148,4987.409200456179,0.2605582471615
1978,0.961638579,0.30315,53.98862521904018,90.87062084277356,15.738803717579483,1430.194865139,4905.979892102002,0.29152073522384997
1979,0.97508084799999994,0.32169,51.635786402919,90.76456014420178,16.19679116793365,1470.09462610499,4686.699440560898,0.31367375799312
1980,0.987821582,0.34232999999999997,48.86724025841639,90.75172515111007,16.52499298418611,1499.67162142488,4434.786356825065,0.33816096216605995
1981,1.00022855,0.35557,45.78433676270818,90.58758375558882,16.28325731081127,1475.0609354569199,4147.492441185912,0.3556512655235
1982,1.015874386,0.38166,43.83433526006616,90.62819898291485,16.99538789502833,1540.26139594245,3972.6268582330777,0.38771861816076
1983,1.031901049,0.41613,42.113483507238385,90.48175251444597,18.083739691411072,1636.24845929392,3810.5017922231455,0.42940498352037
1984,1.046459302,0.47274,39.27022421390265,90.96132776850773,19.427104422015635,1767.11521292399,3572.071736263588,0.49470317042747997
1985,1.061875848,0.5290199999999999,37.41279783926541,91.13692856562052,21.016772417256945,1915.40408647145,3409.687484117134,0.5617535611089599
1986,1.078563527,0.56732,36.24330277536431,91.2115759678933,22.17693846078603,2022.79350715128,3305.8087644225,0.61189066013764
1987,1.097953369,0.62262,34.780848916129365,91.35627317016925,23.776457057009086,2172.12850591892,3177.4487346722995,0.68360772660678
1988,1.117284539,0.68099,33.49838351045159,91.31874417202185,25.487566618567616,2327.49257560834,3059.0303139672033,0.7608595982136099
1989,1.135336837,0.69841,33.58493032614599,91.16315550007359,26.630518965524285,2427.7221415017493,3061.7082257815837,0.7929306003291701
1990,1.153163985,0.71466,32.762113167273,91.02861297752149,26.999918388298173,2457.76512139306,2982.2897198294545,0.8241201735200999
1991,1.168317741,0.77076,31.545053617146515,91.21176225798565,28.40608678270964,2590.96923430422,2877.2799309425786,0.9004925820531601
1992,1.182230625,0.8704400000000001,29.03328318930582,91.13782970558215,29.877014357778172,2722.92624665042,2646.030419100895,1.0290608252250002
1993,1.195448924,0.9807899999999999,27.082884621348676,90.58747936634745,31.754258375990002,2876.53822542866,2453.370251817592,1.1724843501699598
1994,1.208483036,1.0971,25.32331348063157,90.21809937070428,33.57432612752441,3029.01189087743,2284.621211991114,1.3258267387956
1995,1.221055333,1.20517,24.397105146955113,89.92066005532091,35.902273832698214,3228.3561605230993,2193.8037982532705,1.47157925567161
1996,1.2325557,1.3124200000000001,22.85451984717627,89.88007504489444,36.97017412227865,3322.8820245332195,2054.1659589792325,1.6176307517940003
1997,1.242796398,1.4217,21.021581444584488,89.21696311634012,37.142688321111706,3313.7578539863403,1875.481656388634,1.7668836390366
1998,1.252170542,1.5218800000000001,19.516153202790566,89.06641388206019,37.19102184122516,3312.4709440073,1738.2337785454392,1.90565330445896
1999,1.260658633,1.62679,18.729730612597262,89.10538756726237,38.41143457551662,3422.6657648659507,1668.9199052658976,2.05082685757807
2e3,1.268301605,1.75329,17.87597166136958,88.39286655940269,39.75080749731309,3513.6878227385,1580.1083776831053,2.22370052103045
2001,1.275373334,1.88825,17.41355208449468,87.59930545955376,41.935728794940076,3673.54071637696,1525.4150681854987,2.4082236979255
2002,1.2821383690000001,2.0490399999999998,17.439050968483514,87.84522904203591,45.8150516442496,4024.6337052618096,1531.9374266021723,2.62715280361576
2003,1.288741095,2.24281,18.414249015958585,88.73491397820072,53.22457141698888,4722.877766213109,1633.9868024042523,2.89040141527695
2004,1.29538509,2.45612,19.62022065272,88.44572882252743,62.42411051203849,5521.145950335241,1735.3247152886252,3.1816212272507998
2005,1.302284553,2.72046,20.064957710749752,88.99121045569571,71.08639372545912,6326.06422455878,1785.6048744219654,3.54281303505438
2006,1.309395209,3.04899,19.49628836082579,88.98104431965722,77.83567341745197,6925.89950600866,1734.8000987034573,3.99233289828891
2007,1.31648952,3.4630300000000003,18.571923534306627,88.79106693616647,84.67019245945832,7517.95672616586,1649.020905667985,4.5590427024456
2008,1.323480266,3.7762399999999996,17.574035061613223,87.24529423524426,87.83114547945198,7662.854130373332,1533.2518598509444,4.99777911967984
2009,1.330233426,4.10398,16.809580551162068,87.57910585049996,91.76772574778691,8036.93536692508,1472.1680343927283,5.45925137563548
2010,1.336680939,4.5184,16.23669388297906,86.39172945036394,98.06409685365594,8471.92692417533,1402.7160651067063,6.0396591547776
2011,1.342946472,4.92387,16.081051854425773,86.57588610549352,106.33585640990951,9206.12099347444,1392.2313138053014,6.6124938450866395
2012,1.349160868,5.28104,15.56386258310559,84.90616603422977,110.89209305937896,9415.42246518289,1321.4679006150996,7.12497251034272
2013,1.355286257,5.66113,14.989109893442283,84.12130053826453,115.0032215049139,9674.22055908347,1260.9034181473326,7.672451688090409
