year,P,g,e,f,E,F,ef,G
1969,0.201385,23.63258,13.123381140646654,72.76540762162291,62.45741394159206,4544.73918445238,954.9281780730722,4.759247123300001
1970,0.203984,23.43165,13.513420342435312,72.4998144946253,64.58984782865991,4682.75198581392,979.720468014456,4.779681693600001
1971,0.206827,23.87117,13.342114975514251,71.80204272103852,65.8727231133996,4729.79607913946,957.991109460882,4.9372024775900005
1972,0.209284,24.83257,13.305821032232238,71.91595869523915,69.15114466373134,4973.07086336541,956.9008757602581,5.19705957988
1973,0.211357,25.976560000000003,13.095056565027784,72.15050149157749,71.8961529957365,5187.34349395757,944.8148982273289,5.49032779192
1974,0.213342,25.601779999999998,12.82214734862934,71.50475079144103,70.03373472162896,5007.74474826397,916.8444507748773,5.46193494876
1975,0.215465,25.299439999999997,12.50282810446668,71.19436903380564,68.15471439924127,4852.231888333211,890.1309580356375,5.451143839599999
1976,0.217563,26.40498,12.498727484977554,71.65894459904483,71.80202302032023,5145.25718971247,895.6456204045654,5.74474666374
1977,0.21976,27.34575,12.244558622588755,72.00997885958712,73.58369977645555,5298.760665312769,881.7304075575913,6.00950202
1978,0.222095,28.563110000000002,11.590863858723216,71.12349719674424,73.52924026130754,5229.65671360384,824.3827731637448,6.34372391545
1979,0.224567,29.145799999999998,11.389749374800186,71.63213578518737,74.54801526508848,5340.03355198504,815.87207377494,6.545184868599999
1980,0.227224681,28.73443,11.016735727075488,71.72034591376469,71.9301590305758,5158.855887305,790.1240971863839,6.52917169046683
1981,0.229465714,29.19206,10.42891246567902,71.75913818727035,69.85887204118094,5013.01245240994,748.369770767607,6.69857689103084
1982,0.231664458,28.36245,10.168455117685635,71.07534248703706,66.81256248130674,4748.72576079544,722.7264300535712,6.570571606802099
1983,0.233791994,29.40624,9.653811650011189,71.16150001868084,66.36940951486469,4722.94673643188,686.9797179126126,6.87494348564256
1984,0.235824902,31.268990000000002,9.481556661433551,71.28162180098778,69.91706047418056,4983.80146215733,675.8607360249426,7.374006502388981
1985,0.237923795,32.30685,9.0676449580708,71.3672539171997,69.69907280264523,4974.23142649977,647.1329201536543,7.686568356495749
1986,0.240132887,33.133720000000004,8.790383991218459,71.18398439523534,69.94065366384285,4978.654398999549,625.7345568590214,7.956495840649641
1987,0.242288918,33.97567,8.789509418976353,71.3333186715207,72.35461152805118,5161.29456148456,626.984876350173,8.23192832262506
1988,0.244498982,35.08397,8.824438023700198,71.21158253256253,75.69598479963967,5390.43086894314,628.4021966282096,8.57799494951854
1989,0.24681923,36.03331,8.753438584354218,70.37544920133222,77.85057778504563,5478.76938220584,616.0271724302015,8.8937138285513
1990,0.250181,36.23142,8.61731071366275,69.70358465598373,78.11086228438015,5444.607101791179,600.6574468367072,9.06441288702
1991,0.25353,35.72635,8.613714567755043,69.20802096221261,78.02045549443928,5399.641319340529,596.138138367707,9.057701515499998
1992,0.256922,36.508120000000005,8.451506355748753,69.43758758943795,79.27292552018373,5504.52070927875,586.8522128399957,9.37973920664
1993,0.260282,37.02633,8.398598193229988,69.50102243255539,80.93970307602737,5625.39211917135,583.7111614296965,9.637287225060001
1994,0.263455,38.0574,8.221478437318225,69.45848165911458,82.43193266787738,5725.59688333713,571.051409249274,10.026412317
1995,0.266588,38.632760000000005,8.175757323311792,68.78546235109604,84.20237176772063,5791.89907310154,562.3732475543611,10.29903022288
1996,0.269714,39.63446,8.138814594283112,68.89221853074578,87.00367362967857,5993.8760966735,560.7009936105752,10.68996874444
1997,0.272958,40.92067,7.851288530307279,69.34407256040525,87.69594269795755,6081.19381370031,544.4403215383055,11.16962424186
1998,0.276154,42.24695,7.564802745871966,69.42146146998485,88.25601360453969,6126.86144794201,525.1596623505864,11.6666642303
1999,0.279328,43.72376,7.348563111420295,69.09607966052249,89.74998857580158,6201.37236016457,507.7569021370737,12.21327043328
2e3,0.282398,45.01823,7.2220114387986944,69.45628481546585,91.81385113254245,6377.04899426665,501.6140834337544,12.713058115539999
2001,0.285225,45.00705,6.985231088604892,69.68144010443176,89.67036033201747,6248.35984261829,486.7409617162364,12.83713583625
2002,0.287955,45.37661,6.967600092479024,69.12623191230158,91.04160127208532,6293.36284320146,481.64393986487886,13.066421732550001
2003,0.290626,46.221489999999996,6.80120593051594,69.43230147833857,91.36173338434483,6343.455415925421,472.223380583847,13.433166752739998
2004,0.293262,47.54012,6.686403483323095,69.44093985824624,93.2199027969992,6473.27766371798,464.3101421534072,13.941710671440001
2005,0.295993,48.67714,6.47658681694164,69.60282621887195,93.31526323822261,6495.0060507383,450.7887467110261,14.408092700020001
2006,0.298818,49.502720000000004,6.258806022356046,69.26628124107086,92.58216001382777,6412.82193342362,433.5242181778219,14.79230378496
2007,0.301696,49.90253,6.251294759755725,69.29211898698507,94.11570368585754,6521.476538344269,433.1654603157099,15.05539369088
2008,0.304543,49.29186,6.133159057854201,68.77638531935511,92.06786150777143,6332.094718587509,421.81651058787344,15.01149091998
2009,0.30724,47.50307,5.99761413687694,67.49604734784096,87.53423806255833,5908.21507682762,404.8152477567262,14.5948432268
2010,0.309808,48.302080000000004,6.059158049772538,67.7471792482558,90.67148779647897,6142.7375364541,410.4908664914522,14.96437080064
2011,0.312172,48.70398,5.912596732363367,66.75903403438227,89.89523213913651,6001.31886190531,394.7192464874234,15.20401884456
2012,0.314499,49.465720000000005,5.635571398292047,65.99551308445005,87.67213043478492,5785.96723125046,371.92242595433527,15.55691947428
2013,0.316839,50.19008,5.665769713218833,65.94365211824443,90.09806011320356,5941.39513263377,373.62154695058825,15.90217475712
