"k","i"
400.47,79.3763
401.86,95.0391
403.25,97.4674
404.64,102.111
406.03,98.6941
407.42,97.8121
408.81,101.006
410.2,99.6888
411.59,98.3167
412.99,98.5054
414.38,99.588
415.77,95.2503
417.16,82.2655
418.55,71.8522
419.94,76.1577
421.33,84.4901
422.72,88.5981
424.11,90.52
425.5,92.3047
426.89,98.6575
428.28,102.412
429.67,99.0534
431.06,97.3715
432.45,102.253
433.84,103.057
435.23,98.6075
436.62,99.2015
438.01,103.417
439.41,103.119
440.8,93.75
442.19,90.0278
443.58,98.1746
444.97,103.672
446.36,102.01
447.75,104.018
449.14,107.55
450.53,106.096
451.92,100.772
453.31,101.261
454.7,101.246
456.09,89.762
457.48,84.4193
458.87,95.7771
460.26,103.621
461.65,106.61
463.04,109.582
464.43,110.328
465.83,108.855
467.22,106.649
468.61,106.156
470,102.777
471.39,91.5974
472.78,89.9861
474.17,102.568
475.56,108.354
476.95,109.653
478.34,112.736
479.73,112.022
481.12,109.603
482.51,104.858
483.9,99.851
485.29,104.504
486.68,109.937
488.07,112.459
489.46,110.773
490.85,104.604
492.24,102.942
493.64,109.459
495.03,113.362
496.42,114.955
497.81,114.177
499.2,112.485
500.59,105.475
501.98,98.9938
503.37,103.905
504.76,106.566
506.15,100.598
507.54,103.297
508.93,110.314
510.32,110.062
511.71,111.46
513.1,112.804
514.49,110.204
515.88,102.053
517.27,97.2964
518.66,99.8664
520.06,105.671
521.45,112.658
522.84,113.913
524.23,108.692
525.62,102.224
527.01,107.303
528.4,113.875
529.79,116.097
531.18,117.002
532.57,116.406
533.96,114.333
535.35,109.626
536.74,110.221
538.13,114.335
539.52,113.835
540.91,113.117
542.3,114.762
543.69,110.17
545.08,101.765
546.48,102.454
547.87,108.582
549.26,110.02
550.65,111.387
552.04,114.042
553.43,112.564
554.82,111.997
556.21,114.831
557.6,116.392
558.99,117.205
560.38,116.482
561.77,113.468
563.16,111.252
564.55,113.005
565.94,108.748
567.33,103.515
568.72,103.565
570.11,107.751
571.5,112.115
572.9,113.076
574.29,109.091
575.68,104.366
577.07,106.805
578.46,107.777
579.85,101.249
581.24,100.43
582.63,104.926
584.02,104.31
585.41,104.065
586.8,104.116
588.19,96.326
589.58,91.1845
590.97,91.3225
592.36,92.7604
593.75,93.0372
595.14,88.5977
596.53,85.7482
597.92,89.0523
599.32,91.045
600.71,89.652
602.1,89.4662
603.49,87.8007
604.88,86.9314
606.27,85.7582
607.66,84.9152
609.05,84.4663
610.44,83.9344
611.83,84.0168
613.22,82.1163
614.61,77.1339
616,65.4449
617.39,64.8233
618.78,76.5985
620.17,80.9338
621.56,78.1058
622.95,73.9498
624.34,68.9656
625.74,64.7256
627.13,62.0492
628.52,58.7336
629.91,55.5264
631.3,53.2828
632.69,52.0411
634.08,50.1538
635.47,47.8704
636.86,45.7799
638.25,44.2334
639.64,42.9859
641.03,42.6416
642.42,42.8222
643.81,42.5944
645.2,42.6948
646.59,43.8546
647.98,46.3889
649.37,45.9268
650.76,43.3398
652.16,42.8717
653.55,43.0804
654.94,43.2124
656.33,42.9674
657.72,42.2182
659.11,41.5277
660.5,42.0608
661.89,44.3055
663.28,44.9518
664.67,43.6177
666.06,48.3983
667.45,58.3559
668.84,56.003
670.23,46.8528
671.62,43.3597
673.01,43.2393
674.4,42.5983
675.79,41.644
677.18,41.5699
678.58,41.161
679.97,40.7672
681.36,40.6988
682.75,40.2051
684.14,39.3851
685.53,38.6493
686.92,38.2924
688.31,38.4196
689.7,38.2862
