k,i
400.470443,89.933456
401.860966,91.223312
403.251489,97.093384
404.642012,100.631165
406.032535,101.879654
407.423058,104.990784
408.813581,106.812592
410.204104,104.083191
411.594627,101.275299
412.985150,99.287582
414.375673,99.054214
415.766196,97.556763
417.156719,88.351212
418.547242,79.607742
419.937765,83.390533
421.328288,92.657806
422.718811,93.499786
424.109334,95.522339
425.499856,97.364777
426.890379,102.424667
428.280902,106.286255
429.671425,102.163132
431.061948,99.557922
432.452471,104.320236
433.842994,104.934158
435.233517,101.962189
436.624040,103.724808
438.014563,108.223465
439.405086,107.777756
440.795609,98.182861
442.186132,93.330200
443.576655,98.412598
444.967178,102.309418
446.357701,102.894211
447.748224,108.748291
449.138747,112.009659
450.529270,109.126266
451.919793,103.819595
453.310316,103.137939
454.700839,103.701035
456.091362,93.477982
457.481884,86.161148
458.872407,96.606750
460.262930,103.787384
461.653453,105.743927
463.043976,109.173996
464.434499,111.063385
465.825022,109.538147
467.215545,106.000107
468.606068,105.736496
469.996591,104.671860
471.387114,95.136276
472.777637,94.952621
474.168160,106.829865
475.558683,112.435898
476.949206,113.643448
478.339729,114.783661
479.730252,114.086685
481.120775,111.447372
482.511298,105.909546
483.901821,101.833450
485.292344,107.512924
486.682867,114.249359
488.073390,116.234100
489.463912,114.272675
490.854435,108.783173
492.244958,107.388458
493.635481,113.406693
495.026004,118.589325
496.416527,120.083801
497.807050,118.777344
499.197573,115.753403
500.588096,108.290009
501.978619,101.776688
503.369142,104.742340
504.759665,107.150345
506.150188,103.014023
507.540711,105.891434
508.931234,112.086365
510.321757,112.402328
511.712280,114.446594
513.102803,115.386642
514.493326,112.324234
515.883849,104.546463
517.274372,99.709305
518.664895,102.018417
520.055418,107.780701
521.445940,114.576965
522.836463,115.668213
524.226986,110.004807
525.617509,103.695343
527.008032,109.058823
528.398555,116.679321
529.789078,119.491745
531.179601,120.128525
532.570124,119.678558
533.960647,116.604370
535.351170,111.536697
536.741693,113.291473
538.132216,119.564148
539.522739,119.224365
540.913262,116.611069
542.303785,117.724655
543.694308,113.849106
545.084831,105.067780
546.475354,104.126907
547.865877,108.157532
549.256400,109.648132
550.646923,112.820465
552.037446,117.207962
553.427969,115.797958
554.818491,115.329224
556.209014,118.356094
557.599537,119.401474
558.990060,120.031693
560.380583,119.456543
561.771106,116.972610
563.161629,115.442429
564.552152,115.744904
565.942675,109.622620
567.333198,103.920609
568.723721,103.784088
570.114244,107.535767
571.504767,112.233139
572.895290,115.046967
574.285813,111.744461
575.676336,106.548752
577.066859,108.969269
578.457382,109.540421
579.847905,102.360840
581.238428,101.754974
582.628951,105.829071
584.019474,105.341400
585.409997,105.670212
586.800519,105.381332
588.191042,96.400620
589.581565,89.786469
590.972088,89.864716
592.362611,92.357391
593.753134,92.987869
595.143657,88.527817
596.534180,85.107574
597.924703,87.073883
599.315226,88.435059
600.705749,88.461960
602.096272,88.851242
603.486795,86.960663
604.877318,85.409088
606.267841,83.986404
607.658364,83.460754
609.048887,83.245941
610.439410,83.310806
611.829933,82.002518
613.220456,81.491791
614.610979,75.743362
616.001502,65.156250
617.392025,64.490021
618.782547,75.075943
620.173070,79.680603
621.563593,77.564743
622.954116,73.062500
624.344639,68.160477
