time (yyyy),Irradiance (W/m^2)
1610,1360.5444
1611,1360.5742
1612,1361.0019
1613,1361.2256
1614,1361.2072
1615,1361.1105
1616,1360.4448
1617,1360.3521
1618,1360.3256
1619,1360.4205
1620,1360.4277
1621,1360.4042
1622,1360.3655
1623,1360.2977
1624,1360.2619
1625,1360.4795
1626,1360.4164
1627,1360.3099
1628,1360.3727
1629,1360.3437
1630,1360.241
1631,1360.2593
1632,1360.2425
1633,1360.4046
1634,1360.2957
1635,1360.2968
1636,1360.3722
1637,1360.6113
1638,1360.7586
1639,1360.893
1640,1360.475
1641,1360.8036
1642,1360.7731
1643,1360.3859
1644,1360.3342
1645,1360.2277
1646,1360.2116
1647,1360.1889
1648,1360.1602
1649,1360.1498
1650,1360.1019
1651,1360.0947
1652,1360.1439
1653,1360.095
1654,1360.0939
1655,1360.0925
1656,1360.0927
1657,1360.0883
1658,1360.0895
1659,1360.0883
1660,1360.1041
1661,1360.0937
1662,1360.0872
1663,1360.0873
1664,1360.0872
1665,1360.0871
1666,1360.0871
1667,1360.0871
1668,1360.0882
1669,1360.0877
1670,1360.0876
1671,1360.0945
1672,1360.0908
1673,1360.0878
1674,1360.0892
1675,1360.0878
1676,1360.0999
1677,1360.0937
1678,1360.0905
1679,1360.0886
1680,1360.0944
1681,1360.0887
1682,1360.0883
1683,1360.0883
1684,1360.0995
1685,1360.0878
1686,1360.0916
1687,1360.0876
1688,1360.0911
1689,1360.0883
1690,1360.0867
1691,1360.0867
1692,1360.0868
1693,1360.0871
1694,1360.0872
1695,1360.0881
1696,1360.0879
1697,1360.0911
1698,1360.092
1699,1360.0939
1700,1360.0969
1701,1360.101
1702,1360.0984
1703,1360.1165
1704,1360.1304
1705,1360.1391
1706,1360.1171
1707,1360.1406
1708,1360.1264
1709,1360.1152
1710,1360.1125
1711,1360.1106
1712,1360.1284
1713,1360.1373
1714,1360.1437
1715,1360.1646
1716,1360.2138
1717,1360.2717
1718,1360.2305
