I        Z       P       T        N2       CNTMSLF   SCAT      N_1     O3          O2
   1     0.00 1013.000  299.7  7.622E-01 1.623E+21 9.112E-01 2.609E-04 2.612E-03 3.342E+04
   2     1.00  904.000  293.7  6.321E-01 7.602E+20 8.298E-01 2.379E-04 2.612E-03 2.927E+04
   3     2.00  805.000  287.7  5.223E-01 3.892E+20 7.543E-01 2.164E-04 2.519E-03 2.562E+04
   4     3.00  715.000  283.7  4.238E-01 9.924E+19 6.794E-01 1.951E-04 2.379E-03 2.219E+04
   5     4.00  633.000  277.0  3.484E-01 2.176E+19 6.160E-01 1.770E-04 2.192E-03 1.945E+04
   6     5.00  559.000  270.3  2.853E-01 1.012E+19 5.575E-01 1.603E-04 2.099E-03 1.703E+04
   7     6.00  492.000  263.6  2.324E-01 3.249E+18 5.032E-01 1.447E-04 2.006E-03 1.490E+04
   8     7.00  432.000  257.0  1.885E-01 9.917E+17 4.531E-01 1.303E-04 1.912E-03 1.302E+04
   9     8.00  378.000  250.3  1.522E-01 2.810E+17 4.071E-01 1.171E-04 1.819E-03 1.138E+04
  10     9.00  329.000  243.6  1.217E-01 6.471E+16 3.641E-01 1.047E-04 1.819E-03 9.902E+03
  11    10.00  286.000  237.0  9.716E-02 1.125E+16 3.253E-01 9.355E-05 1.819E-03 8.629E+03
  12    11.00  247.000  230.1  7.688E-02 1.299E+15 2.894E-01 8.322E-05 1.912E-03 7.496E+03
  13    12.00  213.000  223.6  6.054E-02 1.618E+14 2.568E-01 7.385E-05 2.006E-03 6.507E+03
  14    13.00  182.000  217.0  4.693E-02 1.456E+13 2.261E-01 6.502E-05 2.099E-03 5.608E+03
  15    14.00  156.000  210.3  3.671E-02 4.497E+12 2.000E-01 5.751E-05 2.098E-03 4.870E+03
  16    15.00  132.000  203.7  2.802E-02 1.419E+12 1.747E-01 5.024E-05 2.193E-03 4.178E+03
  17    16.00  111.000  197.0  2.118E-02 6.036E+11 1.519E-01 4.368E-05 2.192E-03 3.572E+03
  18    17.00   93.700  194.8  1.544E-02 4.110E+11 1.297E-01 3.729E-05 3.240E-03 3.000E+03
  19    18.00   78.900  198.8  1.051E-02 2.516E+11 1.070E-01 3.077E-05 5.346E-03 2.433E+03
  20    19.00   66.600  202.7  7.202E-03 1.542E+11 8.857E-02 2.547E-05 8.409E-03 1.986E+03
  21    20.00   56.500  206.7  4.985E-03 1.067E+11 7.369E-02 2.119E-05 1.031E-02 1.633E+03
  22    21.00   48.000  210.7  3.463E-03 7.699E+10 6.141E-02 1.766E-05 1.105E-02 1.348E+03
  23    22.00   40.900  214.6  2.423E-03 6.016E+10 5.138E-02 1.478E-05 1.232E-02 1.119E+03
  24    23.00   35.000  217.0  1.736E-03 4.622E+10 4.348E-02 1.250E-05 1.477E-02 9.409E+02
  25    24.00   30.000  219.2  1.250E-03 4.052E+10 3.689E-02 1.061E-05 1.585E-02 7.942E+02
  26    25.00   25.700  221.4  8.990E-04 3.007E+10 3.129E-02 8.999E-06 1.689E-02 6.705E+02
  27    30.00   12.200  232.3  1.840E-04 9.323E+09 1.416E-02 4.072E-06 1.316E-02 2.992E+02
  28    35.00    6.000  243.1  4.064E-05 2.723E+09 6.654E-03 1.913E-06 6.450E-03 1.397E+02
  29    40.00    3.050  254.0  9.620E-06 8.236E+08 3.237E-03 9.309E-07 2.426E-03 6.779E+01
  30    45.00    1.590  264.8  2.405E-06 2.475E+08 1.619E-03 4.655E-07 7.279E-04 3.385E+01
  31    50.00    0.854  270.2  6.665E-07 7.597E+07 8.520E-04 2.450E-07 2.384E-04 1.781E+01
  32    70.00    0.058  218.9  4.684E-09 3.003E+05 7.143E-05 2.054E-08 2.141E-06 1.492E+00
  33   100.00    0.000  190.7  1.532E-13 7.763E-02 4.085E-07 1.175E-10 1.633E-08 6.532E-03
