year  mon  -82.5/   -20.0/    20.0/   -82.5/    60.0/   -82.5/    Cont.      0.0/   -82.5/
            82.5     20.0     82.5    -20.0     82.5    -60.0     USA       82.5/     0.0/
-------------------------------------------------------------------------------------------
 1979  1    0.519    0.068    0.777    0.735   -0.760    0.668    1.482    0.533    0.504
 1979  2    0.284   -0.654    1.256    0.300    3.994    0.489    1.006    0.578   -0.009
 1979  3    0.446   -0.100    0.762    0.704    2.599    0.598   -0.175    0.433    0.458
 1979  4    0.578    0.517    0.229    0.991   -0.296    0.578    0.331    0.319    0.837
 1979  5    0.603    0.571    0.656    0.582   -0.097   -0.102    1.308    0.633    0.572
 1979  6    0.433    0.147    0.724    0.444    0.381   -0.451    0.850    0.536    0.330
 1979  7    0.215   -0.158    0.380    0.443    0.407    0.237    0.590    0.170    0.259
 1979  8    0.136   -0.121    0.513    0.030    0.584   -0.689    0.783    0.287   -0.014
 1979  9    0.105   -0.211    0.415    0.127    0.403    0.248   -0.314    0.197    0.012
 1979 10    0.133   -1.398   -0.044    1.921    0.277    7.112   -0.160   -0.510    0.775
 1979 11    0.233   -0.726    0.129    1.346    2.023    3.569    1.027   -0.162    0.627
 1979 12    0.339    0.191   -0.543    1.375   -0.503    1.291   -0.667   -0.286    0.963
 1980  1    0.311    0.255   -0.467    1.148   -3.460    0.602   -1.660   -0.240    0.863
 1980  2    0.302   -0.162    0.279    0.813   -2.609    0.811    0.868    0.101    0.502
 1980  3    0.082   -0.892    1.040    0.150    3.957    0.503    0.264    0.356   -0.192
 1980  4    0.025   -0.768    0.566    0.320    1.936    0.890    0.440    0.106   -0.056
 1980  5    0.149   -0.359    0.479    0.354    0.678    1.504    0.478    0.210    0.089
 1980  6    0.279   -0.040    0.641    0.253    0.944    2.716    0.762    0.455    0.103
 1980  7    0.356    0.594    0.832   -0.371    1.008   -0.124    0.581    0.791   -0.080
 1980  8    0.260    1.022    0.831   -1.113    0.571   -1.340    0.844    0.927   -0.407
 1980  9    0.287    0.893    0.581   -0.645    0.467   -1.731    0.471    0.701   -0.127
 1980 10    0.343    0.414    0.365    0.245    0.982    0.335    0.010    0.377    0.308
 1980 11    0.450    0.949    0.059    0.317   -0.044    0.715   -0.403    0.380    0.521
 1980 12    0.378    0.794   -0.554    0.873   -5.053    2.757   -1.158   -0.070    0.827
 1981  1    0.285    0.893   -0.375    0.303   -4.572    0.770    1.250    0.062    0.507
 1981  2    0.255   -0.014    0.972   -0.177    3.679    0.332   -0.076    0.615   -0.105
 1981  3    0.158   -0.021    0.032    0.473    1.392    0.907    0.073   -0.016    0.333
 1981  4    0.279    0.227    0.368    0.244   -1.193    0.525   -0.125    0.283    0.274
 1981  5    0.213   -0.159    0.282    0.536   -0.900    1.869    1.105    0.108    0.318
 1981  6    0.204    0.161    0.371    0.083    0.046    1.078    0.097    0.299    0.110
 1981  7    0.137    0.364    0.419   -0.386    0.588    0.013    0.109    0.407   -0.134
 1981  8    0.097    0.273    0.383   -0.373    0.204   -0.764    0.597    0.340   -0.145
 1981  9    0.132   -0.315    0.140    0.596    0.181    0.793    0.280   -0.026    0.291
 1981 10    0.226   -0.318    0.276    0.749    0.357   -0.448    0.330    0.057    0.394
 1981 11    0.307    0.011    0.333    0.594    0.823    1.273    0.179    0.208    0.407
 1981 12    0.245    0.079   -0.010    0.674    1.813    1.426    0.417    0.020    0.470
 1982  1    0.218   -0.620    1.200    0.119    2.796   -0.039   -0.530    0.594   -0.157
 1982  2    0.365   -0.187    1.117    0.194    0.868    0.369    0.141    0.688    0.042
 1982  3    0.456    0.299    0.616    0.462   -1.688    0.751    0.845    0.520    0.393
 1982  4    0.469    0.063    0.970    0.395    2.341    0.458    1.326    0.666    0.272
 1982  5    0.616    0.418    1.171    0.269    2.705   -0.381    0.577    0.897    0.335
 1982  6    0.787    1.076    1.296   -0.026    1.349   -1.128    1.867    1.199    0.375
 1982  7    0.833    1.319    1.103    0.049    0.903   -0.258    0.937    1.156    0.509
 1982  8    0.860    1.562    1.015   -0.035    0.865   -0.530    0.634    1.175    0.544
 1982  9    0.986    1.797    1.056    0.064    1.224   -0.194    1.109    1.280    0.692
 1982 10    0.994    1.088    0.475    1.413    0.187    4.594    0.349    0.688    1.299
 1982 11    1.118    1.604    0.438    1.287   -1.625    1.933    1.310    0.861    1.376
 1982 12    1.112    1.510    0.499    1.306   -1.578    0.702    2.811    0.832    1.392
 1983  1    1.099    1.391    0.498    1.394   -1.800    0.415    1.961    0.795    1.404
 1983  2    1.025    1.074    0.964    1.035    0.620    0.451    1.377    0.985    1.065
 1983  3    0.903    0.921    1.049    0.738    2.676    0.501    2.132    0.985    0.820
 1983  4    0.745    0.861    0.620    0.747    1.053    0.651    1.961    0.697    0.793
 1983  5    0.629    0.933    0.533    0.407   -0.087   -0.279    1.484    0.670    0.589
 1983  6    0.546    0.729    0.546    0.352   -0.115   -0.949    1.055    0.613    0.479
 1983  7    0.449    0.430    0.409    0.508    0.054    0.270    0.131    0.411    0.486
 1983  8    0.460    0.767    0.496    0.101    0.220   -0.725   -0.079    0.595    0.326
 1983  9    0.484    0.641    0.309    0.493    0.091   -0.681    0.447    0.432    0.535
 1983 10    0.552    0.826    0.307    0.507   -0.006    0.705    0.244    0.482    0.622
 1983 11    0.516    0.321    0.475    0.762    0.208    3.285    1.261    0.421    0.610
 1983 12    0.419    0.361    0.681    0.218   -0.705    0.169    1.414    0.593    0.246
 1984  1    0.247    0.579   -0.062    0.208   -3.361   -0.627    0.520    0.182    0.313
 1984  2    0.094    0.368   -0.023   -0.077   -1.226   -0.274    2.936    0.146    0.042
 1984  3   -0.188   -1.129    1.319   -0.704    5.394   -0.541   -0.166    0.499   -0.875
 1984  4   -0.129   -0.239    0.002   -0.143    0.398   -0.197    0.132   -0.073   -0.184
 1984  5   -0.013   -0.007   -0.156    0.123   -0.663   -0.190   -0.101   -0.104    0.078
 1984  6   -0.058   -0.191   -0.386    0.410   -0.256    1.537   -0.063   -0.309    0.193
 1984  7   -0.081   -0.538   -0.249    0.567   -0.147    1.230   -0.227   -0.357    0.194
 1984  8   -0.137   -0.657   -0.049    0.322    0.096   -0.287   -0.194   -0.264   -0.010
 1984  9   -0.185   -0.606   -0.057    0.130   -0.384   -0.035   -0.001   -0.255   -0.115
 1984 10   -0.209   -0.569   -0.063    0.024    0.348    1.281   -0.241   -0.232   -0.186
 1984 11   -0.064   -0.364   -0.201    0.390    0.355    2.776    0.755   -0.252    0.124
 1984 12   -0.028   -0.500    0.387    0.055    2.177   -0.486   -1.336    0.088   -0.143
 1985  1   -0.330   -1.288    0.655   -0.306    7.958   -0.346   -3.021   -0.029   -0.631
 1985  2   -0.433   -0.339   -0.838   -0.127    1.599   -0.086   -1.126   -0.685   -0.181
