year  mon  -70.0/   -20.0/    20.0/   -70.0/    60.0/   -70.0/    Cont.      0.0/    -70.0/
            82.5     20.0     82.5    -20.0     82.5    -60.0     USA       82.5       0.0
-------------------------------------------------------------------------------------------
 1979  1   -0.223   -0.249   -0.409    0.005   -0.145   -0.100   -3.253   -0.319   -0.124
 1979  2   -0.122   -0.024   -0.202   -0.148   -1.836   -0.447   -2.107   -0.115   -0.129
 1979  3   -0.135   -0.158   -0.110   -0.136   -0.390   -0.098   -0.088   -0.099   -0.173
 1979  4   -0.261   -0.139   -0.388   -0.266   -0.570   -0.319   -0.720   -0.285   -0.236
 1979  5   -0.222   -0.205   -0.303   -0.156   -0.268    0.175   -0.807   -0.275   -0.167
 1979  6   -0.196   -0.142   -0.326   -0.118   -0.545   -0.931   -0.540   -0.280   -0.107
 1979  7   -0.042   -0.023   -0.029   -0.077   -0.117   -0.407    0.010   -0.008   -0.077
 1979  8   -0.156   -0.030   -0.240   -0.211   -0.057   -0.448   -0.603   -0.153   -0.159
 1979  9   -0.006    0.016   -0.032   -0.002    0.086   -0.106    0.966   -0.022    0.011
 1979 10    0.133    0.135    0.023    0.250   -0.080    0.514    0.262    0.076    0.194
 1979 11    0.037    0.202    0.215   -0.343    0.005   -0.217   -0.561    0.213   -0.148
 1979 12    0.059   -0.020    0.273   -0.079   -0.263    0.435    1.705    0.163   -0.049
 1980  1    0.010    0.098   -0.090    0.016    0.694    0.395   -0.567   -0.020    0.041
 1980  2    0.087    0.113    0.041    0.106    1.783    0.446   -0.760    0.073    0.101
 1980  3   -0.040    0.080   -0.238    0.034   -0.082    0.625   -0.931   -0.109    0.032
 1980  4    0.037    0.143   -0.150    0.117   -0.291    0.789   -0.154   -0.042    0.120
 1980  5    0.094    0.152    0.078    0.044    0.267    0.022    0.080    0.105    0.082
 1980  6    0.136    0.182    0.138    0.083    0.091   -0.327   -0.239    0.145    0.128
 1980  7   -0.010    0.051    0.031   -0.124   -0.401    0.528    0.951    0.048   -0.071
 1980  8    0.018   -0.047   -0.021    0.135    0.417    0.224   -0.061   -0.040    0.079
 1980  9    0.050    0.050   -0.102    0.212    0.087    0.575    0.266   -0.047    0.150
 1980 10    0.047    0.035    0.113   -0.010    0.883   -0.505   -0.011    0.096   -0.005
 1980 11   -0.166   -0.459    0.084   -0.099   -0.391    0.524    0.463   -0.074   -0.262
 1980 12   -0.082   -0.153   -0.015   -0.073    0.045   -0.312    0.984   -0.067   -0.098
 1981  1    0.198   -0.187    0.524    0.289    2.580    0.066    0.926    0.265    0.127
 1981  2    0.202   -0.154    0.251    0.556    0.337    0.583    0.712    0.136    0.271
 1981  3   -0.029   -0.161   -0.089    0.187   -0.161    0.760   -1.383   -0.105    0.051
 1981  4    0.078   -0.084    0.609   -0.304    0.824    0.160    2.415    0.395   -0.253
 1981  5    0.008   -0.091    0.078    0.045    0.525    0.257   -0.598    0.037   -0.024
 1981  6   -0.061   -0.172    0.086   -0.089    0.210   -0.011    0.323    0.013   -0.138
 1981  7   -0.031   -0.174    0.134   -0.044   -0.252    0.316    0.331    0.014   -0.078
 1981  8   -0.000   -0.180    0.216   -0.025    0.624    0.564    0.104    0.096   -0.100
 1981  9   -0.088   -0.107   -0.054   -0.103    0.199    0.343    0.079   -0.072   -0.105
 1981 10   -0.102   -0.044   -0.051   -0.223    0.680   -0.142   -0.690   -0.039   -0.168
 1981 11    0.002   -0.044    0.035    0.018    0.931   -0.273    1.123    0.004   -0.002
 1981 12    0.085   -0.060    0.169    0.160    0.230   -0.101   -0.274    0.100    0.068
 1982  1   -0.141   -0.144   -0.260   -0.010   -1.040    0.207   -1.482   -0.232   -0.046
 1982  2   -0.099   -0.202   -0.137    0.059    0.770   -0.363   -0.454   -0.164   -0.030
 1982  3   -0.166   -0.168   -0.398    0.084   -0.415   -0.322   -0.351   -0.322   -0.004
 1982  4   -0.115   -0.243   -0.047   -0.042   -0.204   -0.320   -1.317   -0.111   -0.120
 1982  5   -0.228   -0.186   -0.362   -0.132   -1.125    0.566   -0.011   -0.297   -0.155
 1982  6   -0.167   -0.077   -0.424    0.005   -0.600    0.507   -1.364   -0.295   -0.034
 1982  7   -0.318   -0.165   -0.362   -0.444   -0.131   -0.455   -0.201   -0.278   -0.359
 1982  8   -0.226   -0.190   -0.391   -0.089   -0.339   -0.812   -0.148   -0.314   -0.133
 1982  9   -0.122   -0.201   -0.089   -0.067   -0.495   -0.520   -0.203   -0.102   -0.144
 1982 10   -0.257   -0.314   -0.351   -0.092   -0.678    0.406   -0.257   -0.348   -0.162
 1982 11   -0.178   -0.035   -0.534    0.039   -0.785    0.421   -0.410   -0.389    0.043
 1982 12   -0.053    0.085    0.036   -0.306    0.189    0.492    0.782    0.038   -0.148
 1983  1    0.186    0.542    0.199   -0.236    0.153    0.590    1.095    0.278    0.089
 1983  2    0.043    0.537   -0.289   -0.167    0.371    0.211    0.490   -0.025    0.115
 1983  3    0.272    0.540    0.026    0.228    0.316   -0.030   -0.277    0.196    0.351
 1983  4    0.152    0.387   -0.121    0.175   -0.031    0.070   -2.492    0.043    0.266
 1983  5    0.111    0.353   -0.218    0.185   -0.602    0.489   -1.421   -0.016    0.243
 1983  6   -0.094    0.181   -0.419   -0.061   -0.167    0.597   -0.985   -0.208    0.026
 1983  7    0.153    0.337   -0.020    0.128    0.064   -0.509    0.347    0.110    0.197
 1983  8    0.105    0.150    0.089    0.072   -0.000   -0.124    1.198    0.109    0.102
 1983  9    0.021    0.048    0.077   -0.070    0.255    0.695   -0.049    0.047   -0.006
 1983 10   -0.025   -0.120   -0.090    0.152   -0.398   -0.155    0.388   -0.096    0.048
 1983 11    0.080   -0.097    0.278    0.070    0.541   -0.588   -0.094    0.161   -0.005
 1983 12   -0.216   -0.289   -0.125   -0.231    0.506   -0.492   -2.541   -0.177   -0.258
 1984  1   -0.266   -0.454   -0.129   -0.197   -0.079    0.506   -0.314   -0.258   -0.275
 1984  2   -0.139   -0.254   -0.234    0.095   -0.133    0.176    0.767   -0.245   -0.028
 1984  3   -0.153   -0.098   -0.420    0.069   -0.298    0.441   -0.990   -0.297   -0.003
 1984  4   -0.225   -0.188   -0.370   -0.111   -0.988    0.015   -0.701   -0.297   -0.149
 1984  5   -0.093   -0.304    0.002    0.045    0.413    1.230   -0.337   -0.101   -0.085
 1984  6   -0.206   -0.386    0.038   -0.261    0.357   -0.880   -0.503   -0.140   -0.275
 1984  7   -0.197   -0.464   -0.166    0.074    0.271   -0.740   -0.341   -0.280   -0.111
 1984  8   -0.166   -0.242   -0.149   -0.098   -0.183    0.674    0.216   -0.176   -0.156
 1984  9   -0.457   -0.519   -0.407   -0.438    0.303    0.036   -1.476   -0.456   -0.457
 1984 10   -0.146   -0.249   -0.248    0.080    0.363   -0.113   -0.857   -0.249   -0.039
