ASCII data file created by Hadley Centre routine mkascii_file.pro on Thu Feb 21 16:09:26 2013
TITLE:
global_mean anomaly series

FILE FORMAT:
Variable      Format    Description

Mon           A3        Month  
Yr            I6        Year
XXXhPa        F8.1      Anomaly at XXXhPa

NOTES:
Anomalies are given in units of Kelvin
Missing data are shown as -999.0


Mon   Yr   850hPa  700hPa  500hPa  300hPa  200hPa  150hPa  100hPa   50hPa   30hPa

Jan  1958     0.0     0.1     0.2    -0.2    -0.5    -0.0     1.1     1.7     2.5
Feb  1958     0.2     0.3     0.2     0.0    -0.6    -0.0     0.8     0.7     1.0
Mar  1958    -0.0     0.1     0.0     0.2     0.1     0.3     1.0     0.7     0.9
Apr  1958    -0.1     0.1     0.1     0.2     0.1     0.0     0.6     1.1     1.7
May  1958     0.1     0.0     0.1     0.1    -0.1    -0.1     0.8     1.0     1.2
Jun  1958    -0.1    -0.0     0.2     0.1     0.1     0.3     0.5     0.4     0.4
Jul  1958    -0.0     0.1     0.1     0.2     0.4     0.2     0.4     0.6     0.7
Aug  1958    -0.2    -0.0    -0.0    -0.2    -0.2     0.1     0.5     1.0     0.7
Sep  1958    -0.4    -0.0     0.0     0.0    -0.2     0.2     0.4     0.8     0.8
Oct  1958     0.2     0.3     0.5     0.3    -0.2    -0.0     0.6     1.3     1.0
Nov  1958    -0.1     0.0     0.3     0.1    -0.4    -0.0     0.8     1.1     1.6
Dec  1958    -0.1    -0.1    -0.1    -0.6    -0.6     0.1     1.0     1.3     1.2
Jan  1959     0.1     0.1     0.3     0.0     0.0     0.3     0.2     0.5     0.9
Feb  1959    -0.2    -0.1    -0.1    -0.3    -0.3     0.3     0.6     1.0     1.7
Mar  1959     0.1     0.3     0.3     0.0    -0.0     0.2     0.6     2.0     1.6
Apr  1959    -0.0     0.1     0.1     0.2     0.4     0.1     0.2     1.1     0.4
May  1959    -0.2    -0.1    -0.2    -0.1     0.1     0.3     0.8     0.9     0.2
Jun  1959    -0.0    -0.1    -0.0    -0.0    -0.1     0.3     0.5     0.8     0.6
Jul  1959    -0.1    -0.1     0.2     0.2     0.0     0.1     0.5     0.7     1.4
Aug  1959    -0.1    -0.1     0.2     0.3     0.3     0.3     0.7     1.3     2.0
Sep  1959    -0.2    -0.1     0.0     0.2    -0.3    -0.3     0.1     1.7     2.3
Oct  1959    -0.1    -0.0    -0.0    -0.0    -0.2    -0.2     0.3     1.5     2.1
Nov  1959    -0.1     0.1     0.2     0.1    -0.7    -0.5     0.2     1.1     1.8
Dec  1959     0.1     0.1     0.3     0.3     0.1     0.1     0.7     1.1     1.8
Jan  1960     0.0     0.1     0.2     0.1    -0.0     0.2     0.7    -0.2     0.2
Feb  1960     0.1     0.0     0.1     0.2     0.2     0.1     0.3     0.6     1.0
Mar  1960    -0.5    -0.4    -0.3    -0.4    -0.2     0.0     0.2     1.0     1.3
Apr  1960    -0.1    -0.1     0.0    -0.1    -0.1     0.1     0.2     0.4     0.6
May  1960    -0.0     0.1     0.2     0.1     0.0     0.0     0.1     0.8     0.4
