year  mon  -82.5/   -20.0/    20.0/   -82.5/    60.0/   -82.5/    Cont.      0.0/   -82.5/
            82.5     20.0     82.5    -20.0     82.5    -60.0     USA       82.5/     0.0/
-------------------------------------------------------------------------------------------
 1979  1    0.769    0.335    0.857    1.138   -1.648    0.980    1.822    0.673    0.864
 1979  2    0.519   -0.416    1.417    0.607    3.075    0.723    1.245    0.762    0.278
 1979  3    0.662    0.016    1.036    0.968    2.738    0.785    0.170    0.643    0.680
 1979  4    0.757    0.571    0.479    1.230    0.427    0.779    0.538    0.496    1.018
 1979  5    0.761    0.624    0.867    0.798    0.236    0.076    1.467    0.788    0.733
 1979  6    0.590    0.218    0.925    0.648    0.610   -0.188    1.016    0.686    0.493
 1979  7    0.382    0.010    0.532    0.623    0.568    0.317    0.764    0.323    0.440
 1979  8    0.310    0.067    0.678    0.199    0.743   -0.591    0.948    0.457    0.164
 1979  9    0.308    0.041    0.630    0.265    0.548    0.175   -0.160    0.421    0.194
 1979 10    0.373   -1.093    0.163    2.125    0.356    6.844    0.093   -0.274    1.019
 1979 11    0.478   -0.486    0.259    1.712    2.021    4.413    1.195    0.004    0.952
 1979 12    0.559    0.472   -0.583    1.790   -0.751    2.054   -0.959   -0.219    1.335
 1980  1    0.561    0.522   -0.387    1.551   -4.348    0.914   -1.320   -0.100    1.223
 1980  2    0.537    0.076    0.440    1.120   -3.528    1.045    1.106    0.285    0.789
 1980  3    0.298   -0.776    1.314    0.414    4.096    0.690    0.609    0.566    0.030
 1980  4    0.204   -0.714    0.816    0.559    2.659    1.091    0.647    0.283    0.125
 1980  5    0.307   -0.306    0.690    0.570    1.011    1.682    0.637    0.365    0.250
 1980  6    0.436    0.031    0.842    0.457    1.174    2.979    0.928    0.605    0.266
 1980  7    0.523    0.762    0.984   -0.191    1.169   -0.044    0.755    0.944    0.101
 1980  8    0.434    1.210    0.996   -0.944    0.730   -1.242    1.009    1.097   -0.229
 1980  9    0.490    1.145    0.796   -0.507    0.612   -1.804    0.625    0.925    0.055
 1980 10    0.583    0.719    0.572    0.449    1.061    0.067    0.263    0.613    0.552
 1980 11    0.695    1.189    0.189    0.683   -0.046    1.559   -0.235    0.546    0.846
 1980 12    0.598    1.075   -0.594    1.288   -5.301    3.520   -1.450   -0.003    1.199
 1981  1    0.535    1.160   -0.295    0.706   -5.460    1.082    1.590    0.202    0.867
 1981  2    0.490    0.224    1.133    0.130    2.760    0.566    0.162    0.799    0.182
 1981  3    0.374    0.095    0.306    0.737    1.531    1.094    0.418    0.194    0.555
 1981  4    0.458    0.281    0.618    0.483   -0.470    0.726    0.082    0.460    0.455
 1981  5    0.371   -0.106    0.493    0.752   -0.567    2.047    1.264    0.263    0.479
 1981  6    0.361    0.232    0.572    0.287    0.275    1.341    0.262    0.449    0.273
 1981  7    0.304    0.532    0.571   -0.206    0.749    0.093    0.283    0.560    0.047
 1981  8    0.271    0.461    0.548   -0.204    0.363   -0.666    0.762    0.510    0.033
 1981  9    0.335   -0.063    0.355    0.734    0.326    0.720    0.434    0.198    0.473
 1981 10    0.466   -0.013    0.483    0.953    0.436   -0.716    0.583    0.293    0.638
 1981 11    0.552    0.251    0.463    0.960    0.821    2.117    0.347    0.374    0.732
 1981 12    0.465    0.360   -0.050    1.089    1.565    2.189    0.125    0.087    0.842
 1982  1    0.468   -0.353    1.280    0.522    1.908    0.273   -0.190    0.734    0.203
 1982  2    0.600    0.051    1.278    0.501   -0.051    0.603    0.379    0.872    0.329
 1982  3    0.672    0.415    0.890    0.726   -1.549    0.938    1.190    0.730    0.615
 1982  4    0.648    0.117    1.220    0.634    3.064    0.659    1.533    0.843    0.453
 1982  5    0.774    0.471    1.382    0.485    3.038   -0.203    0.736    1.052    0.496
 1982  6    0.944    1.147    1.497    0.178    1.579   -0.865    2.033    1.349    0.538
 1982  7    1.000    1.487    1.256    0.229    1.064   -0.178    1.111    1.309    0.690
 1982  8    1.034    1.750    1.180    0.134    1.024   -0.432    0.799    1.345    0.722
 1982  9    1.189    2.049    1.271    0.202    1.369   -0.267    1.263    1.504    0.874
 1982 10    1.234    1.393    0.682    1.617    0.266    4.326    0.602    0.924    1.543
 1982 11    1.363    1.844    0.568    1.653   -1.627    2.777    1.478    1.027    1.701
 1982 12    1.332    1.791    0.459    1.721   -1.826    1.465    2.519    0.900    1.764
 1983  1    1.349    1.658    0.578    1.797   -2.688    0.727    2.301    0.935    1.764
 1983  2    1.260    1.312    1.125    1.342   -0.299    0.685    1.615    1.169    1.352
 1983  3    1.119    1.037    1.323    1.002    2.815    0.688    2.477    1.195    1.042
 1983  4    0.924    0.915    0.870    0.986    1.776    0.852    2.168    0.874    0.974
 1983  5    0.787    0.986    0.744    0.623    0.246   -0.101    1.643    0.825    0.750
 1983  6    0.703    0.800    0.747    0.556    0.114   -0.686    1.220    0.763    0.642
 1983  7    0.616    0.598    0.561    0.688    0.215    0.350    0.305    0.564    0.667
 1983  8    0.634    0.955    0.661    0.270    0.379   -0.627    0.086    0.765    0.504
 1983  9    0.687    0.893    0.524    0.631    0.236   -0.754    0.601    0.656    0.717
 1983 10    0.792    1.131    0.514    0.711    0.073    0.437    0.497    0.718    0.866
 1983 11    0.761    0.561    0.605    1.128    0.206    4.129    1.429    0.587    0.935
 1983 12    0.639    0.642    0.641    0.633   -0.953    0.932    1.122    0.660    0.618
 1984  1    0.497    0.846    0.018    0.611   -4.249   -0.315    0.860    0.322    0.673
 1984  2    0.329    0.606    0.138    0.230   -2.145   -0.040    3.174    0.330    0.329
 1984  3    0.028   -1.013    1.593   -0.440    5.533   -0.354    0.179    0.709   -0.653
 1984  4    0.050   -0.185    0.252    0.096    1.121    0.004    0.339    0.104   -0.003
 1984  5    0.145    0.046    0.055    0.339   -0.330   -0.012    0.058    0.051    0.239
 1984  6    0.099   -0.120   -0.185    0.614   -0.027    1.800    0.102   -0.159    0.356
 1984  7    0.086   -0.370   -0.097    0.747    0.014    1.310   -0.053   -0.204    0.375
 1984  8    0.037   -0.469    0.116    0.491    0.255   -0.189   -0.029   -0.094    0.168
 1984  9    0.018   -0.354    0.158    0.268   -0.239   -0.108    0.153   -0.031    0.067
 1984 10    0.031   -0.264    0.144    0.228    0.427    1.013    0.012    0.004    0.058
 1984 11    0.181   -0.124   -0.071    0.756    0.353    3.620    0.923   -0.086    0.449
 1984 12    0.192   -0.219    0.347    0.470    1.929    0.277   -1.628    0.155    0.229
 1985  1   -0.080   -1.021    0.735    0.097    7.070   -0.034   -2.681    0.111   -0.271
 1985  2   -0.198   -0.101   -0.677    0.180    0.680    0.148   -0.888   -0.502    0.106
 1985  3   -0.190   -0.213   -0.305   -0.049    1.432    0.110   -0.619   -0.295   -0.084
 1985  4   -0.192   -0.013   -0.466   -0.105    2.074    0.346   -1.320   -0.297   -0.086
